,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
52,FCC ID,85736,1285,0,United States,MINISO Corporation has filed for FCC ID approval on KG13 Karaoke Microphone with Built-in Wireless Speaker with Col… https://t.co/lbSmpGBBEb
53,chi ♥︎,8138,1122,0,"♡⃕ eiri, any
— #onaeric 


",desk organizer link plz ? &lt;3__&lt;3 the one beside ur lamp — from miniso! https://t.co/7tzHK3z70R
54,𓆩(•ᴗ•)𓆪,463,0,0,she/her,"i need someone to take me to miniso, i want to buy this so bad https://t.co/LRawz7XP8h"
55,Eve,325,276,0,she/her | ฅ^•ﻌ•^ฅ,@wonjyx Or stuffed toy sa miniso
56,Tensai GenM ♡̶,60552,1882,0,Morioh,@Marvfess Wirebound book Miniso Spidey https://t.co/M8eAKw1NAZ
57,Tarun Nagpal,23543,184,0,"Patel Nagar, Panipat","RT @me_dvg: Yuvan medical services have opened the first of its kind #healthkiosk at Elante Mall Chandigarh, basement-2, below Miniso store…"
58,Dr. Varinder Garg,400,107,3,"Chandigarh, India","Yuvan medical services have opened the first of its kind #healthkiosk at Elante Mall Chandigarh, basement-2, below… https://t.co/oAGRLSlbvJ"
59,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @EBOYCHOISANI: 4 years ago today, san in ateez (kq fellaz) first performance video https://t.co/fuEd2UO8Wp"
60,luh,8003,240,0,/ svt / atz / nct / en- /,‼️ San Kpopstore 3.0 FOUND ‼️
61,luh,8003,240,0,/ svt / atz / nct / en- /,RT @haotonin: minghao holding two 🥚🥚 https://t.co/2K65KGcCyy
62,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @ateezlocks: #ATEEZ rocky lockscreens • @ATEEZofficial 

🔗 https://t.co/BBkORzNccn https://t.co/YaR8WWa5nU"
63,luh,8003,240,0,/ svt / atz / nct / en- /,RT @KNITEcoser: Feelin fresh ✨ https://t.co/WskCKraeed
64,six,86447,371,1,they/them,shout out to the person who drew ayato and this person who wrote cock ball torture on the paper at the pens section… https://t.co/OC7EC2rLJX
65,pavonix /ᐠ｡ꞈ｡ᐟ\,78041,602,1,in inima voastra    ,miniso my beloved
66,lyka ☻,6173,130,4,Teumeland,"interest check wts lfb iphone ph try lang

- iPhone 7 plus 
- 128 gb
- 100% batt health
- w/orig adapter and miniso… https://t.co/1DxNA4FIrX"
67,luh,8003,240,0,/ svt / atz / nct / en- /,"for legal purposes, issa joke"
68,luh,8003,240,1,/ svt / atz / nct / en- /,"i want a punch NOT from the choi bros,,,, maybe from mingi or hwa https://t.co/DTzBmGbP7u"
69,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @thinkabthvc: after the announcement of the world tour, a carat called interpark (company managing seoul concert ticketing) for info on…"
70,luh,8003,240,0,/ svt / atz / nct / en- /,RT @woozification: carats and armys i know you guys have a lot of differences but it's time to unite against the real enemy https://t.co/kE…
71,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @ATEEZofficial: [#홍중] Wonderwall X ATEEZ✌
#ATEEZ #에이티즈 https://t.co/Jnf0VXbpFp"
72,Aaysha,1684,76,0,"Dantewada, India",RT @PhunnyHai: I walk around Miniso store without buying anything and call it free therapy.
73,Makcee Oscar,560,254,0,"Nairobi, Kenya","RT @MinisoKE: Get Organized with our Miniso Stackable Storage Box 😍
Measurements: 14 x 10.5 x 6.2

Price____Kes 199

Available in our Onlin…"
74,Khayl🅰️,822,26,0,"Sumatera Barat, Indonesia","RT @miamoniquerolo: 17. Miniso Lady Perfume Edt 53k https://t.co/idMlINTTBP

18. Fres Hijab Refresh Collection 10k https://t.co/f4FrVYQeop…"
