,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
116,Uncle Tolu,16614,352,0,"Lasgidi,Nigeria","Miniso New Products
#Miniso #minisonewproducs https://t.co/8q8drXsdHq"
117,Info Diskon dan Promo,4743,2481,0,,"Miniso Official Music Earphone Colorful Capsule 22k

 https://t.co/NCjwsooWig https://t.co/MG8PBKumbU"
118,Nook Inc's Muse,91,10,0,,Does anyone else have a Miniso at their mall? It’s the best store ever it’s basically Amazon irl
119,D 💖💜💙,3230,1037,0,She/her,@William52881551 It’s from Miniso
120,Madelief🌼❤😋🎶🎭,3009,119,0,The Netherlands,"I bought a lunchbox at Miniso yesterday and it's pastel blue with a cute picture of a bear, has more compartments a… https://t.co/krVHKVmtdy"
121,Dini Ariska Handoko,9948,227,0,Pematangsiantar-Medan,@ohmybeautybank Miniso for lyfe https://t.co/7k2NEY1gqA
122,ᴍᴏᴍᴀʟɪꜱᴀ ♡ ᴀᴘᴏᴏʀᴠᴀ ꜱᴛᴀɴ 🧘🏻‍♀️,40526,299,0,Away From Everyone📍,"@fattiiiin Whenever i go miniso my wallet and credit card becomes zero
Like i Literally buy 1500 ki umbrella just because it look cute"
123,luh,8003,240,0,/ svt / atz / nct / en- /,IF YOU LEAVE ME LEADER LINE!?!?!?!?!!??!! https://t.co/sdXEthBmv0
124,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @pledis_17: SEVENTEEN (세븐틴) 4th Album 'Face the Sun'
Track List

☀ 2022.05.27 1PM (KST)
☀ 2022.05.27 0AM (ET)  

#SEVENTEEN #세븐틴
#Faceth…"
125,raaa,7121,200,0,unlabeled account.,"i wish i hv someone to hug rn, bug all i have is boneka miniso and bantal guling👍🏻"
126,daydreamer Jyotss🧋🌺,160,46,0,🪐,Today was Miniso Day 🌸
127,Boba,2888,212,1,dodoco bomb ! # 💌 - she/her ,I need the new pink miniso penguin 🐧
128,ayaa,2886,362,0,,"Miniso

link : https://t.co/7dhQkHE1w2 https://t.co/CNNlOXUiiZ"
129,Abhishek,77412,17711,0,"Thane, India",RT @PhunnyHai: I walk around Miniso store without buying anything and call it free therapy.
130,aby,12048,386,0,capek,@convomfs Robot/miniso
131,D 💖💜💙,3230,1037,1,She/her,"@beautghoul Miniso, this one’s in nyc"
132,crstnjymrtncbl,114,0,0,,I want a Miniso we bare bears! 🫣 Sarap yakapin! 😁
133,SM City Bicutan,8149,3345,2,Paranaque City,"We are ain't over yet with colorful #AweSMBurstOfSummer! Visit us now at Miniso, located at the Upper Ground Level,… https://t.co/ev0MZcjFPI"
134,Martina,25307,639,0,,"RT @SarahMMM15: Imagine having a room with Candy theme 😂🍬🍭🍡🍨🍩
I did most of the candy details a few years ago.. Plushies from Miniso..
Mina…"
135,for rting bentables,14866,833,0,,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
136,vaxo ♡ annie ᴾʳᵒᵒᶠ,19779,1268,6,yoongi’s wife🍊,someone asked me where i get my clothes from and i panicked and said miniso😭😭
137,luh,8003,240,0,/ svt / atz / nct / en- /,"star 1117, my turn to make u cry boiz https://t.co/q1jqMrsbb1"
138,lynna,3763,527,0,💉 쯔 닝 씬  ⋆  션 츄 혁 ,@collyoon YEAH I LOVE HIM SO MUCH BUKAMBIBIG K SYA SA FRIENDS K BACK THEN THEY EVEN GIFTED ME A THOR PLUSHIE FROM MINISO................
139,Luna.,345,193,0,09564111566,"T. wbb miniso panda large big stuffed toy we bare bears 
#LBNSSells https://t.co/FVwzkhJKM0"
140,isay,10202,2230,0,,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
141,Akìroo.,2479,105,0,,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
142,I'm smol,320,8,0,,RT @PhunnyHai: I walk around Miniso store without buying anything and call it free therapy.
143,Betty,38,8,0,Canvas,RT @PhunnyHai: I walk around Miniso store without buying anything and call it free therapy.
144,mae | studying !,23065,2867,0,home,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
145,mae,3306,1471,0,イ・ヒスン,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
146,ace,420,57,0,,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
147,aje's qs era,2280,2112,0,"love, aje 🫧 she her
  minor ; infp-t! 🍥
   ebbg❕️sb2unf ","RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
148,luna.,10674,394,0,🤘🏻,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
149,chin,3579,292,0,anoscetia,"RT @Luna_bns: wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fresh from t…"
